time_of_day,weather,speed_limit,past_incidents,risk_multiplier
night,clear,80,3,2.5
evening,rainy,30,1,1.75
afternoon,rainy,50,2,1.956
morning,foggy,60,2,2.143
morning,rainy,40,2,1.956
evening,foggy,50,4,2.302
afternoon,clear,40,3,1.758
night,rainy,60,2,2.356
evening,clear,60,3,2.204
evening,foggy,50,0,2.164
night,rainy,50,2,2.5
evening,clear,50,2,1.831
night,clear,40,3,2.109
evening,clear,50,1,1.874
afternoon,clear,30,2,1.675
evening,clear,60,1,1.871
morning,rainy,40,3,1.84
morning,clear,30,1,1.325
morning,foggy,60,3,2.174
night,foggy,30,2,2.204
night,clear,50,3,2.276
morning,clear,40,0,1.395
night,foggy,60,4,2.5
night,foggy,40,3,2.393
morning,foggy,40,2,1.77
morning,rainy,80,3,2.496
night,clear,30,1,1.689
afternoon,foggy,80,2,2.5
morning,rainy,30,1,1.603
evening,foggy,30,0,1.836
morning,foggy,50,0,1.672
night,clear,80,2,2.5
afternoon,clear,40,2,1.635
morning,clear,50,1,1.722
evening,foggy,60,2,2.422
morning,rainy,30,0,1.517
afternoon,rainy,60,3,2.186
evening,clear,40,0,1.529
afternoon,clear,60,2,1.733
morning,rainy,40,0,1.687
evening,rainy,80,0,2.182
afternoon,clear,80,0,1.875
morning,clear,30,1,1.212
morning,rainy,50,3,1.905
morning,foggy,40,6,2.358
night,clear,50,1,1.995
morning,rainy,30,0,1.549
night,rainy,60,2,2.265
night,clear,30,2,1.872
afternoon,foggy,60,3,2.252
afternoon,foggy,80,3,2.456
evening,clear,40,2,1.886
afternoon,clear,50,3,1.941
night,rainy,40,1,2.248
night,foggy,50,4,2.5
morning,clear,80,1,1.874
afternoon,foggy,60,4,2.329
morning,foggy,80,1,2.271
afternoon,rainy,40,4,2.002
afternoon,clear,60,1,1.802
evening,clear,80,1,2.169
morning,clear,40,2,1.566
morning,foggy,40,1,1.838
afternoon,rainy,80,1,2.348
night,rainy,60,1,2.288
evening,rainy,80,0,2.276
afternoon,rainy,50,1,1.902
evening,foggy,80,2,2.5
morning,rainy,60,2,2.131
morning,foggy,60,2,2.193
evening,foggy,40,1,1.93
afternoon,foggy,60,0,2.07
morning,rainy,60,0,1.865
afternoon,clear,50,3,1.618
night,foggy,50,2,2.5
morning,foggy,40,1,1.732
morning,rainy,60,3,2.134
evening,foggy,60,2,2.269
afternoon,foggy,50,1,1.951
night,clear,50,2,2.178
morning,rainy,40,5,2.124
morning,foggy,60,1,2.201
morning,clear,30,0,1.356
afternoon,foggy,80,4,2.5
afternoon,rainy,50,1,1.784
night,rainy,80,2,2.5
night,foggy,30,3,2.191
morning,clear,40,1,1.414
night,foggy,30,1,1.94
morning,clear,30,2,1.246
morning,clear,50,1,1.504
night,clear,60,2,2.193
night,foggy,50,5,2.5
afternoon,clear,30,2,1.649
morning,clear,40,2,1.467
evening,clear,60,2,1.966
night,rainy,50,4,2.5
evening,foggy,50,3,2.476
night,clear,60,4,2.344
afternoon,clear,30,5,1.609
night,rainy,80,2,2.5
evening,clear,40,4,1.916
night,foggy,60,0,2.316
afternoon,clear,40,3,1.557
evening,foggy,40,4,2.147
night,foggy,60,0,2.382
evening,clear,40,3,1.815
afternoon,clear,30,2,1.513
morning,rainy,30,4,1.811
evening,rainy,50,4,2.412
night,clear,50,2,2.084
evening,foggy,30,1,1.725
evening,rainy,30,3,2.008
morning,rainy,30,2,1.584
evening,foggy,60,4,2.5
evening,foggy,80,4,2.5
evening,foggy,80,2,2.5
morning,clear,40,1,1.576
afternoon,clear,40,0,1.5
morning,foggy,40,1,1.702
morning,clear,80,3,2.035
afternoon,foggy,30,2,1.926
evening,rainy,30,2,1.823
morning,rainy,80,2,2.187
afternoon,clear,30,3,1.621
afternoon,clear,60,5,2.166
afternoon,rainy,30,1,1.706
night,rainy,50,3,2.381
afternoon,clear,50,3,1.851
afternoon,rainy,50,3,2.229
evening,rainy,30,1,1.829
night,clear,80,1,2.299
night,rainy,80,4,2.5
afternoon,foggy,50,4,2.233
morning,foggy,80,0,2.358
evening,foggy,50,0,2.009
evening,foggy,80,4,2.5
night,rainy,60,1,2.442
afternoon,rainy,40,3,2.097
morning,foggy,60,1,2.012
afternoon,rainy,30,2,1.776
night,clear,40,0,1.892
afternoon,rainy,30,2,1.603
evening,foggy,60,3,2.334
night,rainy,40,3,2.477
night,foggy,30,3,2.346
evening,clear,60,2,2.058
evening,foggy,80,4,2.5
night,rainy,80,3,2.5
night,clear,60,1,2.092
morning,foggy,40,1,1.878
evening,clear,40,2,1.89
evening,foggy,30,1,2.157
night,foggy,60,4,2.5
morning,clear,50,1,1.594
afternoon,rainy,60,2,2.155
night,clear,60,1,2.235
afternoon,rainy,80,2,2.392
afternoon,clear,80,2,2.141
afternoon,foggy,80,1,2.386
morning,clear,80,1,1.945
evening,clear,30,0,1.461
afternoon,foggy,60,1,2.246
evening,clear,40,2,1.74
afternoon,rainy,30,3,1.923
evening,clear,60,3,2.116
afternoon,rainy,40,1,1.737
night,rainy,80,1,2.5
evening,foggy,80,2,2.5
afternoon,clear,50,2,1.826
afternoon,rainy,60,4,2.419
afternoon,clear,50,1,1.492
afternoon,clear,50,2,1.642
afternoon,clear,60,1,1.874
evening,clear,40,2,1.829
night,clear,30,0,1.583
afternoon,foggy,60,3,2.212
afternoon,foggy,80,4,2.5
evening,rainy,40,4,2.351
night,foggy,30,2,2.264
afternoon,clear,60,2,1.775
night,foggy,60,3,2.5
morning,foggy,80,2,2.469
afternoon,clear,60,1,1.802
morning,clear,80,2,2.146
morning,rainy,80,0,2.042
evening,clear,30,1,1.483
evening,foggy,80,3,2.5
evening,rainy,50,4,2.5
afternoon,clear,80,2,2.029
afternoon,rainy,30,4,2.024
afternoon,clear,40,2,1.626
night,rainy,80,2,2.5
evening,rainy,30,2,1.986
evening,clear,80,2,2.175
evening,clear,40,1,1.604
evening,foggy,50,2,2.369
afternoon,clear,40,4,1.745
afternoon,clear,60,0,1.599
afternoon,clear,80,2,2.178
night,clear,60,2,2.233
night,clear,30,1,1.698
morning,clear,30,3,1.488
morning,rainy,40,1,1.795
evening,rainy,80,0,2.257
afternoon,rainy,50,2,1.999
evening,rainy,80,1,2.5
morning,rainy,30,0,1.602
night,foggy,80,2,2.5
evening,rainy,30,4,2.254
afternoon,foggy,80,1,2.391
night,clear,60,2,2.182
evening,rainy,30,2,1.942
afternoon,foggy,80,3,2.5
afternoon,clear,60,0,1.655
afternoon,foggy,40,0,1.926
morning,rainy,30,1,1.632
night,rainy,40,3,2.34
afternoon,foggy,50,0,1.816
night,clear,50,3,2.276
night,foggy,30,1,2.133
evening,foggy,60,2,2.484
afternoon,clear,50,1,1.627
night,rainy,80,3,2.5
evening,rainy,80,3,2.5
morning,foggy,80,2,2.256
afternoon,clear,30,3,1.468
evening,foggy,60,0,2.162
evening,foggy,40,3,2.196
morning,foggy,50,3,2.189
night,clear,30,6,2.21
afternoon,clear,30,2,1.425
evening,clear,80,3,2.394
afternoon,rainy,30,3,1.771
afternoon,foggy,80,0,2.336
afternoon,clear,60,4,2.1
afternoon,clear,60,6,2.377
morning,foggy,50,2,1.957
morning,rainy,60,0,1.881
morning,clear,30,2,1.394
morning,foggy,60,1,2.369
night,clear,30,3,1.978
morning,rainy,40,5,2.031
morning,rainy,50,3,1.895
afternoon,foggy,30,1,1.761
morning,clear,60,3,1.878
evening,rainy,40,2,2.169
evening,clear,50,2,2.102
evening,foggy,60,3,2.449
morning,foggy,50,4,2.434
morning,foggy,60,2,2.064
afternoon,rainy,40,1,1.823
night,foggy,80,2,2.5
night,foggy,40,2,2.436
morning,clear,30,0,1.006
evening,foggy,30,4,2.268
afternoon,foggy,30,1,1.88
evening,clear,60,2,1.921
afternoon,rainy,50,1,1.957
afternoon,rainy,80,3,2.5
morning,clear,40,2,1.679
evening,foggy,80,1,2.387
night,foggy,80,1,2.5
evening,clear,60,3,1.995
evening,clear,40,1,1.654
morning,clear,30,0,1.272
morning,rainy,40,0,1.656
afternoon,foggy,80,1,2.259
morning,foggy,80,4,2.5
afternoon,clear,30,2,1.52
morning,rainy,30,4,2.07
night,rainy,40,1,2.19
evening,rainy,60,1,1.904
morning,rainy,30,6,2.09
night,rainy,80,0,2.46
night,foggy,60,3,2.5
afternoon,rainy,30,2,1.775
afternoon,foggy,60,3,2.22
afternoon,clear,40,3,1.844
morning,rainy,80,0,2.323
evening,rainy,50,2,2.189
morning,clear,30,1,1.304
afternoon,rainy,30,1,1.578
afternoon,foggy,50,3,2.271
morning,clear,30,1,1.487
night,rainy,50,2,2.353
morning,foggy,30,1,1.769
afternoon,clear,40,1,1.305
night,foggy,60,4,2.5
night,rainy,80,1,2.5
afternoon,clear,80,2,2.194
afternoon,rainy,80,6,2.5
afternoon,foggy,80,2,2.418
night,clear,80,4,2.491
evening,clear,30,2,1.557
evening,clear,30,5,1.928
morning,foggy,50,0,1.643
afternoon,foggy,80,1,2.291
evening,rainy,60,3,2.377
night,foggy,30,4,2.495
evening,foggy,80,1,2.491
morning,rainy,40,3,1.923
afternoon,foggy,40,4,2.402
night,foggy,80,2,2.5
night,rainy,30,2,2.121
morning,clear,50,2,1.787
night,clear,30,0,1.656
night,foggy,60,1,2.411
afternoon,foggy,30,0,1.52
afternoon,rainy,80,1,2.184
afternoon,clear,80,3,2.24
night,rainy,50,3,2.465
evening,clear,40,3,1.927
night,clear,40,3,2.231
night,clear,40,1,2.002
evening,rainy,30,4,2.077
night,foggy,80,3,2.5
morning,clear,80,3,2.004
afternoon,foggy,80,4,2.5
evening,rainy,80,0,2.368
morning,foggy,50,4,2.142
morning,foggy,80,2,2.457
morning,foggy,60,1,2.014
evening,clear,50,0,1.751
morning,clear,80,3,2.196
afternoon,foggy,40,3,2.083
night,clear,60,0,1.972
night,rainy,80,1,2.468
morning,rainy,30,2,1.636
night,foggy,80,3,2.5
night,clear,40,3,1.89
morning,clear,50,1,1.432
night,rainy,80,2,2.5
night,foggy,30,0,1.872
night,foggy,30,3,2.153
morning,rainy,40,3,1.886
afternoon,foggy,50,4,2.311
evening,foggy,80,3,2.5
morning,foggy,50,2,1.994
evening,foggy,50,1,2.268
morning,clear,30,1,1.328
morning,foggy,60,1,1.966
evening,foggy,30,4,2.254
morning,foggy,30,0,1.664
evening,clear,80,2,2.446
morning,clear,30,1,1.434
afternoon,rainy,40,3,1.91
evening,rainy,40,4,2.234
night,foggy,60,1,2.5
morning,foggy,50,1,1.955
afternoon,foggy,80,2,2.5
morning,clear,50,2,1.627
afternoon,clear,80,4,2.207
morning,rainy,40,2,1.707
afternoon,clear,40,1,1.533
night,clear,40,1,1.948
morning,rainy,60,3,2.255
afternoon,rainy,60,4,2.248
night,foggy,40,2,2.266
afternoon,foggy,40,4,2.282
afternoon,rainy,50,3,2.047
afternoon,clear,50,3,2.021
morning,foggy,60,3,2.122
evening,foggy,60,2,2.474
morning,clear,40,2,1.397
afternoon,clear,40,0,1.61
evening,foggy,30,2,1.975
evening,foggy,30,4,1.97
evening,foggy,40,1,1.89
morning,rainy,40,2,1.759
morning,rainy,30,3,1.792
night,rainy,40,2,2.271
evening,rainy,30,2,1.992
afternoon,clear,40,3,1.667
evening,rainy,80,2,2.5
afternoon,clear,80,1,2.081
evening,clear,30,3,1.705
afternoon,clear,80,0,1.89
evening,foggy,50,1,2.27
night,foggy,50,1,2.354
night,rainy,50,3,2.464
afternoon,foggy,50,0,1.902
morning,foggy,30,3,1.762
night,clear,50,0,1.98
night,clear,30,0,1.583
night,clear,30,4,1.934
morning,rainy,40,1,1.602
night,foggy,50,3,2.5
afternoon,clear,30,0,1.215
night,foggy,80,3,2.5
evening,rainy,60,3,2.283
afternoon,foggy,30,1,1.628
afternoon,foggy,60,1,2.15
afternoon,clear,50,1,1.772
afternoon,rainy,50,2,1.816
morning,foggy,80,1,2.208
evening,foggy,60,2,2.322
morning,rainy,50,1,1.758
night,foggy,40,3,2.344
evening,clear,40,2,1.739
night,foggy,30,1,2.063
afternoon,foggy,50,0,1.971
morning,rainy,40,0,1.67
afternoon,clear,80,4,2.301
morning,clear,40,2,1.518
evening,foggy,50,6,2.5
morning,foggy,40,2,1.822
afternoon,clear,80,1,2.065
night,clear,60,1,2.082
morning,clear,40,4,1.644
morning,rainy,50,1,1.902
afternoon,clear,50,4,1.978
morning,clear,80,0,1.887
morning,rainy,80,4,2.459
afternoon,foggy,30,3,1.765
evening,foggy,50,1,2.112
morning,clear,50,0,1.513
afternoon,clear,30,5,1.924
night,foggy,60,4,2.5
afternoon,rainy,80,1,2.321
morning,rainy,60,3,2.051
night,foggy,60,1,2.446
morning,foggy,80,3,2.429
evening,clear,80,1,2.236
evening,rainy,50,0,1.938
night,rainy,80,1,2.426
evening,foggy,50,1,2.016
afternoon,clear,30,2,1.468
evening,foggy,80,1,2.373
morning,clear,80,4,2.404
evening,foggy,50,2,2.334
afternoon,clear,40,2,1.738
morning,clear,60,2,1.653
night,clear,30,2,1.858
night,rainy,60,1,2.5
night,rainy,80,2,2.5
night,rainy,80,4,2.5
morning,rainy,50,3,1.93
morning,clear,40,3,1.705
evening,clear,50,3,1.999
morning,rainy,60,4,2.288
night,rainy,60,2,2.5
night,foggy,80,0,2.496
afternoon,rainy,60,2,2.288
evening,clear,30,2,1.646
evening,clear,40,2,1.874
night,clear,60,1,2.229
morning,rainy,40,3,1.792
evening,foggy,40,4,2.402
evening,clear,50,1,1.77
morning,rainy,30,4,1.678
evening,foggy,30,1,1.783
morning,foggy,80,3,2.5
morning,clear,60,1,1.728
evening,rainy,60,3,2.243
afternoon,rainy,80,0,1.902
night,clear,50,4,2.262
morning,clear,30,2,1.573
evening,clear,60,4,2.195
night,foggy,40,2,2.223
afternoon,foggy,50,3,2.238
afternoon,rainy,50,1,1.787
night,foggy,40,0,2.12
evening,clear,60,5,2.181
afternoon,foggy,60,2,2.166
morning,rainy,50,1,1.842
afternoon,foggy,60,3,2.435
morning,rainy,60,3,2.216
night,clear,40,5,2.386
night,clear,60,3,2.415
afternoon,foggy,80,1,2.393
morning,foggy,60,1,2.061
morning,clear,60,1,1.787
night,clear,60,5,2.422
morning,rainy,60,3,2.156
evening,rainy,80,2,2.353
evening,rainy,80,1,2.284
morning,foggy,50,3,2.104
afternoon,clear,30,2,1.443
morning,clear,80,2,2.149
evening,foggy,80,0,2.426
night,rainy,40,2,2.211
afternoon,foggy,40,0,1.929
night,rainy,60,1,2.346
night,rainy,80,1,2.5
evening,foggy,60,3,2.5
night,foggy,80,3,2.5
night,clear,80,1,2.244
night,foggy,60,1,2.5
night,foggy,80,2,2.5
night,clear,40,1,1.875
afternoon,clear,80,0,1.764
morning,rainy,80,0,2.081
afternoon,foggy,80,0,2.445
night,rainy,30,1,2.046
night,rainy,50,3,2.495
evening,rainy,50,2,2.152
evening,foggy,40,2,2.202
morning,rainy,30,0,1.6
afternoon,rainy,60,2,2.052
afternoon,rainy,50,2,1.948
afternoon,clear,80,5,2.316
evening,rainy,80,6,2.5
morning,clear,60,2,1.725
evening,foggy,80,3,2.5
afternoon,foggy,60,2,2.24
afternoon,rainy,60,0,1.886
afternoon,foggy,60,3,2.396
evening,foggy,80,2,2.5
night,rainy,80,1,2.5
afternoon,clear,40,2,1.76
morning,clear,30,4,1.775
morning,clear,30,1,1.402
night,rainy,80,3,2.5
night,rainy,50,3,2.453
evening,clear,80,1,2.347
evening,foggy,60,4,2.5
afternoon,clear,30,1,1.445
morning,foggy,30,1,1.678
evening,rainy,30,2,1.887
evening,foggy,60,2,2.47
afternoon,rainy,80,0,1.949
night,rainy,40,3,2.236
night,rainy,80,2,2.5
evening,rainy,40,4,2.272
evening,rainy,50,4,2.323
evening,rainy,40,2,1.977
morning,clear,50,3,1.856
evening,foggy,30,1,1.697
morning,foggy,40,4,2.084
night,rainy,80,4,2.5
night,foggy,50,0,2.051
evening,rainy,40,4,2.313
evening,foggy,30,3,2.163
evening,foggy,40,4,2.383
afternoon,foggy,60,1,2.272
night,foggy,60,2,2.5
evening,rainy,60,2,2.248
morning,rainy,50,2,1.987
afternoon,rainy,40,3,2.025
evening,clear,30,4,1.89
morning,rainy,30,2,1.688
night,foggy,80,0,2.5
night,foggy,80,2,2.5
night,foggy,30,1,2.154
morning,rainy,50,1,1.74
morning,clear,60,0,1.682
evening,foggy,60,3,2.5
afternoon,foggy,50,1,2.13
night,foggy,50,0,2.266
night,rainy,50,2,2.358
morning,clear,60,4,1.927
morning,clear,40,0,1.293
evening,rainy,50,1,2.112
night,foggy,80,1,2.5
night,clear,40,1,1.993
morning,clear,30,4,1.71
afternoon,foggy,50,1,2.062
evening,clear,50,3,1.885
night,rainy,40,2,2.123
evening,rainy,80,5,2.5
afternoon,clear,40,4,1.825
afternoon,clear,80,5,2.373
evening,clear,50,1,1.744
afternoon,rainy,40,1,1.641
afternoon,foggy,30,2,1.768
night,foggy,30,2,2.198
morning,rainy,50,2,2.182
evening,rainy,30,2,1.956
morning,rainy,40,4,1.898
evening,rainy,50,3,2.374
night,foggy,30,2,1.995
evening,rainy,40,3,2.058
evening,rainy,40,4,2.132
evening,clear,60,0,1.892
afternoon,foggy,40,0,1.664
evening,clear,50,2,1.995
night,foggy,80,4,2.5
evening,rainy,30,2,1.66
evening,foggy,50,2,2.301
afternoon,rainy,30,1,1.527
morning,clear,30,0,1.253
morning,clear,80,2,2.131
evening,rainy,30,1,1.803
night,foggy,80,4,2.5
morning,clear,80,1,2.052
afternoon,rainy,40,1,1.896
afternoon,clear,60,3,2.164
night,clear,60,4,2.347
night,rainy,60,2,2.5
morning,clear,80,2,2.027
afternoon,foggy,80,3,2.5
evening,foggy,60,4,2.5
night,foggy,80,2,2.5
morning,foggy,40,0,1.948
evening,rainy,60,2,2.19
afternoon,rainy,30,1,1.824
evening,rainy,30,1,2.04
afternoon,clear,40,2,1.681
evening,rainy,80,3,2.5
morning,clear,40,0,1.351
evening,foggy,30,3,2.159
evening,clear,50,1,1.738
night,foggy,80,1,2.5
afternoon,foggy,30,5,2.343
morning,rainy,60,0,1.865
evening,clear,50,3,1.954
evening,foggy,40,2,2.239
afternoon,rainy,30,1,1.639
evening,clear,50,0,1.745
afternoon,rainy,60,1,2.128
afternoon,rainy,40,1,1.712
afternoon,rainy,40,0,1.674
night,clear,40,3,2.159
night,rainy,40,3,2.216
afternoon,clear,60,1,1.862
night,clear,80,3,2.437
morning,foggy,40,2,2.023
evening,rainy,50,2,2.108
morning,foggy,50,2,1.945
evening,clear,60,1,2.182
afternoon,clear,60,3,2.044
night,foggy,50,0,2.347
morning,foggy,30,4,1.915
afternoon,rainy,80,1,2.5
night,rainy,80,0,2.5
morning,rainy,60,0,1.856
night,rainy,50,0,2.195
night,clear,50,3,2.038
night,foggy,50,1,2.369
evening,clear,60,3,2.11
afternoon,clear,40,2,1.616
afternoon,clear,40,1,1.443
evening,rainy,80,3,2.5
afternoon,clear,40,1,1.561
night,rainy,80,3,2.5
evening,foggy,60,3,2.5
evening,clear,30,2,1.532
evening,rainy,60,3,2.38
morning,clear,50,2,1.63
afternoon,foggy,50,1,1.908
night,rainy,30,1,2.09
evening,foggy,40,3,2.091
afternoon,clear,30,2,1.338
evening,clear,30,0,1.497
night,clear,30,4,2.197
night,clear,30,1,1.814
afternoon,foggy,40,1,2.058
morning,rainy,40,3,1.824
night,rainy,60,7,2.5
morning,clear,40,2,1.652
night,foggy,40,5,2.5
evening,foggy,30,3,2.207
afternoon,clear,40,2,1.642
morning,clear,30,5,1.68
morning,foggy,40,1,1.884
night,rainy,50,3,2.498
night,foggy,80,2,2.5
evening,clear,60,0,1.87
night,clear,40,1,1.955
morning,clear,80,0,1.748
morning,rainy,30,4,1.863
night,foggy,30,0,1.982
afternoon,rainy,60,1,2.173
afternoon,clear,80,0,2.124
evening,foggy,60,3,2.496
morning,clear,40,0,1.305
afternoon,clear,80,0,1.867
night,clear,30,1,1.735
night,rainy,40,2,2.135
afternoon,foggy,40,1,1.997
morning,foggy,80,5,2.5
night,clear,80,1,2.245
afternoon,foggy,50,1,1.864
morning,foggy,60,2,2.066
night,foggy,60,3,2.5
evening,rainy,30,5,2.146
morning,foggy,60,2,2.334
evening,foggy,30,2,2.078
morning,rainy,50,0,1.841
evening,foggy,80,0,2.325
night,foggy,60,0,2.304
afternoon,foggy,30,2,1.854
evening,rainy,80,3,2.424
night,rainy,80,0,2.5
night,foggy,50,0,2.092
morning,foggy,60,5,2.421
afternoon,rainy,40,3,1.882
afternoon,foggy,80,6,2.5
afternoon,foggy,60,2,2.308
afternoon,rainy,30,3,1.853
night,foggy,30,2,2.186
night,clear,50,3,2.125
night,foggy,40,2,2.269
night,rainy,60,3,2.386
evening,foggy,30,0,1.845
evening,clear,40,3,1.783
afternoon,clear,60,0,1.855
night,clear,60,1,1.999
night,foggy,80,4,2.5
morning,clear,40,1,1.127
night,clear,60,2,2.026
evening,clear,40,3,1.689
night,rainy,30,1,1.905
morning,clear,50,0,1.449
night,rainy,40,2,2.37
evening,rainy,60,1,2.156
morning,rainy,80,1,2.176
night,clear,50,3,2.261
night,foggy,40,5,2.5
night,foggy,30,1,2.186
evening,clear,80,2,2.265
evening,rainy,50,3,2.443
afternoon,clear,30,1,1.368
morning,foggy,50,2,1.944
morning,foggy,60,2,1.978
evening,rainy,30,2,1.795
morning,rainy,40,1,1.805
night,rainy,50,1,2.254
morning,clear,50,1,1.397
evening,clear,30,0,1.562
evening,rainy,50,1,1.99
evening,rainy,50,3,2.064
morning,rainy,60,3,2.033
night,rainy,50,3,2.492
morning,rainy,50,1,1.899
afternoon,rainy,40,1,1.667
afternoon,clear,30,1,1.582
night,foggy,40,1,2.183
morning,clear,30,2,1.588
morning,clear,60,3,1.822
evening,clear,40,3,1.921
afternoon,rainy,30,1,1.636
night,rainy,40,0,2.108
evening,rainy,60,1,2.142
morning,foggy,80,2,2.5
night,foggy,50,2,2.5
afternoon,rainy,60,0,1.866
evening,clear,30,1,1.725
afternoon,clear,60,4,2.181
morning,foggy,80,0,2.173
morning,foggy,80,5,2.5
morning,clear,60,3,1.937
evening,rainy,30,3,2.128
night,clear,40,1,1.924
evening,rainy,50,3,2.454
night,foggy,50,2,2.5
evening,foggy,40,2,2.205
afternoon,foggy,40,1,1.936
afternoon,clear,30,0,1.157
night,foggy,50,4,2.5
morning,foggy,80,1,2.296
night,foggy,50,2,2.451
afternoon,rainy,30,0,1.693
evening,rainy,50,4,2.256
evening,foggy,80,0,2.484
evening,rainy,40,2,2.178
evening,foggy,40,2,2.195
evening,rainy,30,1,1.728
morning,clear,30,2,1.455
evening,foggy,30,2,1.991
night,clear,60,3,2.5
evening,rainy,60,3,2.373
night,clear,30,0,1.591
afternoon,clear,80,2,2.048
afternoon,foggy,80,2,2.359
evening,rainy,60,1,2.1
evening,foggy,40,0,1.941
evening,rainy,60,0,2.074
night,clear,80,4,2.5
night,clear,50,2,2.056
evening,clear,40,2,1.891
morning,clear,50,1,1.648
evening,rainy,30,1,1.928
afternoon,rainy,60,1,1.869
morning,rainy,30,2,1.731
morning,foggy,80,3,2.457
night,rainy,30,1,2.127
afternoon,foggy,40,2,2.238
evening,foggy,80,3,2.5
afternoon,foggy,30,1,1.701
morning,rainy,60,2,1.795
morning,rainy,50,5,2.229
afternoon,rainy,80,2,2.421
morning,rainy,40,3,1.906
evening,clear,50,1,1.719
evening,foggy,60,2,2.34
evening,clear,30,1,1.368
afternoon,clear,80,3,2.216
night,foggy,60,0,2.379
night,rainy,60,1,2.5
afternoon,foggy,30,0,1.775
afternoon,foggy,50,1,1.965
afternoon,rainy,30,1,1.689
night,rainy,40,1,2.154
afternoon,clear,60,4,2.128
afternoon,foggy,50,4,2.042
evening,clear,40,1,1.651
night,foggy,60,2,2.5
afternoon,rainy,60,1,1.914
afternoon,rainy,80,2,2.265
morning,clear,80,2,1.962
morning,rainy,80,1,2.305
morning,rainy,40,4,1.936
afternoon,clear,60,4,2.16
afternoon,clear,40,2,1.741
morning,rainy,40,3,1.868
evening,rainy,50,3,2.259
afternoon,clear,50,1,1.736
afternoon,rainy,60,0,2.006
night,rainy,30,2,1.945
morning,foggy,50,3,2.154
evening,rainy,80,1,2.5
morning,foggy,80,0,2.158
night,foggy,40,5,2.443
morning,clear,60,4,1.968
morning,rainy,60,2,2.159
afternoon,rainy,40,2,1.912
afternoon,clear,80,2,2.275
afternoon,foggy,60,2,2.009
morning,rainy,40,1,1.676
night,clear,30,0,1.755
night,rainy,50,5,2.5
evening,clear,80,1,2.1
morning,rainy,60,3,2.159
afternoon,rainy,40,2,1.772
morning,clear,40,5,1.935
night,clear,40,2,1.902
night,clear,40,1,1.942
evening,foggy,60,2,2.334
morning,foggy,50,4,2.265
night,rainy,50,2,2.143
afternoon,rainy,60,1,2.13
night,rainy,50,3,2.5
morning,clear,60,1,1.825
evening,clear,60,5,2.437
evening,foggy,30,1,1.867
evening,rainy,50,3,2.226
afternoon,clear,40,3,1.731
morning,foggy,40,0,1.712
night,clear,60,1,2.098
morning,rainy,50,1,1.962
evening,clear,40,4,2.144
evening,clear,30,2,1.716
morning,rainy,30,0,1.537
afternoon,foggy,40,3,1.982
night,clear,30,2,1.731
morning,clear,40,2,1.634
evening,rainy,40,2,2.184
morning,foggy,60,1,2.092
night,clear,80,4,2.5
morning,clear,50,3,1.804
evening,foggy,60,3,2.41
evening,foggy,50,0,2.069
afternoon,clear,50,1,1.826
morning,clear,80,2,1.873
evening,clear,60,0,1.84
morning,clear,60,3,1.992
evening,rainy,60,1,2.04
evening,rainy,60,2,2.402
night,clear,40,1,1.932
night,foggy,60,1,2.5
night,foggy,80,2,2.5
evening,rainy,60,0,2.141
afternoon,rainy,30,1,1.669
afternoon,rainy,40,2,1.879
night,clear,30,0,1.698
morning,foggy,40,2,1.947
afternoon,rainy,30,3,1.732
evening,clear,50,2,1.936
night,clear,80,5,2.5
morning,rainy,40,2,1.791
morning,clear,80,2,1.96
evening,rainy,60,2,2.243
evening,rainy,80,2,2.5
morning,foggy,50,3,2.187
evening,rainy,50,2,2.026
afternoon,foggy,80,1,2.42
afternoon,rainy,30,3,1.866
morning,foggy,30,1,1.789
night,clear,50,4,2.222
afternoon,foggy,50,1,1.944
evening,foggy,40,1,1.998
evening,rainy,40,3,2.148
night,clear,50,2,2.039
afternoon,clear,40,1,1.609
afternoon,rainy,50,0,1.834
morning,foggy,80,5,2.5
morning,foggy,30,2,1.892
evening,foggy,30,1,2.04
evening,clear,80,3,2.38
evening,foggy,40,4,2.206
evening,foggy,60,1,2.23
morning,foggy,50,1,2.041
evening,foggy,50,4,2.374
evening,foggy,30,2,2.133
night,rainy,40,4,2.266
night,rainy,40,1,2.101
afternoon,foggy,40,2,1.957
night,rainy,80,2,2.5
evening,rainy,50,1,2.16
evening,foggy,80,4,2.5
afternoon,rainy,30,1,1.727
evening,rainy,60,2,2.435
afternoon,foggy,60,1,2.269
evening,clear,80,2,2.419
morning,rainy,30,5,2.04
afternoon,foggy,50,3,2.007
night,foggy,80,2,2.5
afternoon,rainy,60,3,2.295
morning,clear,60,1,1.75
night,rainy,50,0,2.061
evening,clear,30,2,1.799
afternoon,clear,60,0,1.732
night,foggy,80,1,2.5
afternoon,rainy,80,5,2.5
morning,rainy,80,1,2.387
morning,foggy,60,2,2.121
night,rainy,30,3,2.181
morning,rainy,60,4,2.32
evening,clear,40,2,1.818
night,clear,30,1,1.595
night,clear,40,1,2.002
evening,foggy,40,1,1.886
afternoon,foggy,60,2,2.217
morning,foggy,30,5,2.166
night,foggy,80,1,2.5
night,foggy,80,2,2.5
evening,clear,40,3,1.88
afternoon,rainy,50,0,1.852
afternoon,rainy,80,3,2.5
morning,clear,80,2,2.157
night,foggy,40,1,2.248
evening,clear,50,0,1.674
evening,clear,60,2,2.0
afternoon,rainy,80,2,2.311
